Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Area(Data*nm)	Valley(nm)	Valley(Data)
1	400.6	523.0	699.4	 2250	67915.779	699.4	0.665

Data Points
nm	Data
405.0	0.879
406.0	0.846
407.0	0.778
408.0	0.771
409.0	0.764
410.0	0.736
411.0	0.690
412.0	0.668
413.0	0.681
414.0	0.724
415.0	0.732
416.0	0.759
417.0	0.760
418.0	0.767
419.0	0.820
420.0	0.849
421.0	0.871
422.0	0.842
423.0	0.822
424.0	0.844
425.0	0.847
426.0	0.846
427.0	0.868
428.0	0.848
429.0	0.813
430.0	0.777
431.0	0.771
432.0	0.762
433.0	0.789
434.0	0.794
435.0	0.787
436.0	0.778
437.0	0.787
438.0	0.856
439.0	0.917
440.0	0.953
441.0	0.940
442.0	0.945
443.0	0.953
444.0	0.989
445.0	1.045
446.0	1.127
447.0	1.154
448.0	1.204
449.0	1.274
450.0	1.369
451.0	1.522
452.0	1.828
453.0	2.211
454.0	2.593
455.0	3.110
456.0	3.679
457.0	4.298
458.0	5.013
459.0	5.795
460.0	6.720
461.0	7.662
462.0	8.476
463.0	9.271
464.0	10.12
465.0	10.67
466.0	11.30
467.0	12.04
468.0	12.67
469.0	13.48
470.0	14.61
471.0	15.66
472.0	16.90
473.0	18.10
474.0	19.64
475.0	21.20
476.0	23.12
477.0	25.10
478.0	27.72
479.0	29.81
480.0	32.42
481.0	36.04
482.0	39.98
483.0	44.17
484.0	49.11
485.0	54.83
486.0	62.08
487.0	68.65
488.0	76.88
489.0	86.49
490.0	97.34
491.0	110.1
492.0	124.5
493.0	141.4
494.0	160.3
495.0	182.9
496.0	207.1
497.0	234.5
498.0	265.5
499.0	300.4
500.0	339.3
501.0	384.6
502.0	430.7
503.0	485.0
504.0	544.5
505.0	607.0
506.0	676.0
507.0	754.0
508.0	836.7
509.0	927.6
510.0	 1024
511.0	 1129
512.0	 1243
513.0	 1360
514.0	 1480
515.0	 1606
516.0	 1730
517.0	 1850
518.0	 1962
519.0	 2064
520.0	 2145
521.0	 2203
522.0	 2241
523.0	 2250
524.0	 2241
525.0	 2205
526.0	 2151
527.0	 2078
528.0	 1993
529.0	 1896
530.0	 1796
531.0	 1690
532.0	 1582
533.0	 1477
534.0	 1372
535.0	 1268
536.0	 1169
537.0	 1076
538.0	987.8
539.0	904.4
540.0	825.7
541.0	754.3
542.0	687.5
543.0	626.0
544.0	568.0
545.0	515.1
546.0	466.6
547.0	422.7
548.0	382.6
549.0	346.2
550.0	312.4
551.0	281.7
552.0	254.6
553.0	230.3
554.0	207.5
555.0	187.6
556.0	169.9
557.0	152.9
558.0	138.1
559.0	125.1
560.0	113.0
561.0	101.9
562.0	92.82
563.0	83.85
564.0	76.01
565.0	69.09
566.0	62.53
567.0	56.59
568.0	51.30
569.0	46.53
570.0	42.21
571.0	38.22
572.0	34.76
573.0	31.39
574.0	28.54
575.0	25.78
576.0	23.45
577.0	21.37
578.0	19.61
579.0	17.81
580.0	16.27
581.0	14.81
582.0	13.62
583.0	12.42
584.0	11.49
585.0	10.63
586.0	9.725
587.0	8.949
588.0	8.197
589.0	7.691
590.0	7.269
591.0	6.725
592.0	6.377
593.0	5.918
594.0	5.570
595.0	5.265
596.0	4.926
597.0	4.656
598.0	4.422
599.0	4.144
600.0	3.968
601.0	3.708
602.0	3.421
603.0	3.335
604.0	3.201
605.0	2.984
606.0	2.871
607.0	2.788
608.0	2.634
609.0	2.481
610.0	2.339
611.0	2.278
612.0	2.278
613.0	2.233
614.0	2.138
615.0	2.116
616.0	2.053
617.0	1.994
618.0	1.961
619.0	1.957
620.0	1.860
621.0	1.781
622.0	1.739
623.0	1.714
624.0	1.636
625.0	1.636
626.0	1.629
627.0	1.656
628.0	1.619
629.0	1.589
630.0	1.589
631.0	1.552
632.0	1.500
633.0	1.464
634.0	1.481
635.0	1.434
636.0	1.382
637.0	1.354
638.0	1.315
639.0	1.297
640.0	1.292
641.0	1.225
642.0	1.224
643.0	1.221
644.0	1.209
645.0	1.167
646.0	1.113
647.0	1.085
648.0	1.075
649.0	1.076
650.0	1.122
651.0	1.112
652.0	1.090
653.0	1.016
654.0	0.990
655.0	0.957
656.0	0.948
657.0	0.928
658.0	0.907
659.0	0.857
660.0	0.865
661.0	0.867
662.0	0.836
663.0	0.818
664.0	0.813
665.0	0.847
666.0	0.836
667.0	0.797
668.0	0.794
669.0	0.791
670.0	0.730
671.0	0.716
672.0	0.709
673.0	0.698
674.0	0.644
675.0	0.657
676.0	0.664
677.0	0.659
678.0	0.659
679.0	0.688
680.0	0.717
681.0	0.702
682.0	0.673
683.0	0.666
684.0	0.657
685.0	0.640
686.0	0.669
687.0	0.681
688.0	0.676
689.0	0.659
690.0	0.662
691.0	0.644
692.0	0.680
693.0	0.691
694.0	0.697
695.0	0.653
696.0	0.650
697.0	0.665
698.0	0.661
699.0	0.673

